ontology,class,algorithm,selection_type,auroc,auprc,time_sec
BP,GO:0007530,naive_bayes,PCA,0.8294,0.0563,8.402
BP,GO:0007549,naive_bayes,PCA,0.6554,0.0057,7.27
BP,GO:0007588,naive_bayes,PCA,0.6447,0.0086,8.95
BP,GO:0007600,naive_bayes,PCA,0.6718,0.021,8.762
BP,GO:0007606,naive_bayes,PCA,0.7274,0.0191,7.719
BP,GO:0007610,naive_bayes,PCA,0.7154,0.0533,8.74
BP,GO:0007611,naive_bayes,PCA,0.7032,0.0147,8.802
BP,GO:0007612,naive_bayes,PCA,0.7318,0.0158,8.747
BP,GO:0007613,naive_bayes,PCA,0.5623,0.0045,8.823
BP,GO:0007614,naive_bayes,PCA,0.5244,0.003,8.873
BP,GO:0007617,naive_bayes,PCA,0.6505,0.0057,8.709
BP,GO:0007626,naive_bayes,PCA,0.7447,0.0127,6.743
BP,GO:0007631,naive_bayes,PCA,0.7617,0.0683,6.365
BP,GO:0007635,naive_bayes,PCA,0.7757,0.0247,6.573
BP,GO:0007638,naive_bayes,PCA,0.5908,0.004,7.514
BP,GO:0008037,naive_bayes,PCA,0.715,0.0124,7.689
BP,GO:0008038,naive_bayes,PCA,0.6965,0.0121,8.732
BP,GO:0008045,naive_bayes,PCA,0.867,0.0227,6.412
BP,GO:0008104,naive_bayes,PCA,0.7752,0.0454,6.911
BP,GO:0008150,naive_bayes,PCA,0.6998,0.2764,7.255
BP,GO:0008152,naive_bayes,PCA,0.732,0.0833,7.127
BP,GO:0008213,naive_bayes,PCA,0.8703,0.0211,6.801
BP,GO:0008219,naive_bayes,PCA,0.5612,0.0133,6.766
BP,GO:0008284,naive_bayes,PCA,0.5421,0.0025,7.331
BP,GO:0008286,naive_bayes,PCA,0.7811,0.0319,7.379
BP,GO:0008306,naive_bayes,PCA,0.6974,0.0106,6.82
BP,GO:0008340,naive_bayes,PCA,0.7419,0.0433,7.157
BP,GO:0008355,naive_bayes,PCA,0.6381,0.0055,6.802
BP,GO:0008356,naive_bayes,PCA,0.8724,0.0174,6.953
BP,GO:0008361,naive_bayes,PCA,0.6223,0.0021,7.309
BP,GO:0008406,naive_bayes,PCA,0.7831,0.0122,7.249
BP,GO:0008582,naive_bayes,PCA,0.8342,0.0166,7.046
BP,GO:0008593,naive_bayes,PCA,0.5958,0.003,6.923
BP,GO:0008595,naive_bayes,PCA,0.8406,0.0172,7.25
BP,GO:0008610,naive_bayes,PCA,0.7734,0.0112,7.151
BP,GO:0008630,naive_bayes,PCA,0.7013,0.0543,6.758
BP,GO:0008654,naive_bayes,PCA,0.6969,0.016,7.46
BP,GO:0009056,naive_bayes,PCA,0.6831,0.0273,7.092
BP,GO:0009057,naive_bayes,PCA,0.7713,0.031,6.709
BP,GO:0009058,naive_bayes,PCA,0.7369,0.0255,7.525
BP,GO:0009059,naive_bayes,PCA,0.6559,0.0086,7.016
BP,GO:0009100,naive_bayes,PCA,0.6796,0.007,6.842
BP,GO:0009108,naive_bayes,PCA,0.6615,0.0049,7.301
BP,GO:0009116,naive_bayes,PCA,0.8734,0.0182,7.237
BP,GO:0009117,naive_bayes,PCA,0.7769,0.0091,7.018
BP,GO:0009119,naive_bayes,PCA,0.8734,0.0182,6.645
BP,GO:0009123,naive_bayes,PCA,0.7549,0.0059,7.405
BP,GO:0009150,naive_bayes,PCA,0.6926,0.0065,6.37
BP,GO:0009161,naive_bayes,PCA,0.7431,0.0053,7.261
BP,GO:0009165,naive_bayes,PCA,0.823,0.0108,7.046
BP,GO:0009259,naive_bayes,PCA,0.7407,0.0109,7.158
BP,GO:0009260,naive_bayes,PCA,0.8255,0.0107,6.406
BP,GO:0009266,naive_bayes,PCA,0.6844,0.0133,7.402
BP,GO:0009268,naive_bayes,PCA,0.7482,0.0072,7.174
BP,GO:0009314,naive_bayes,PCA,0.6814,0.0067,7.425
BP,GO:0009408,naive_bayes,PCA,0.6406,0.0075,7.047
BP,GO:0009411,naive_bayes,PCA,0.6077,0.0125,7.471
BP,GO:0009416,naive_bayes,PCA,0.6867,0.0065,7.11
BP,GO:0009581,naive_bayes,PCA,0.7066,0.0126,6.975
BP,GO:0009582,naive_bayes,PCA,0.7066,0.0126,6.82
BP,GO:0009593,naive_bayes,PCA,0.7287,0.0044,6.533
BP,GO:0009605,naive_bayes,PCA,0.7366,0.0358,7.173
BP,GO:0009607,naive_bayes,PCA,0.7218,0.0218,6.683
BP,GO:0009611,naive_bayes,PCA,0.7618,0.0087,7.034
BP,GO:0009612,naive_bayes,PCA,0.67,0.0036,6.722
BP,GO:0009617,naive_bayes,PCA,0.7061,0.0185,6.625
BP,GO:0009620,naive_bayes,PCA,0.8198,0.0243,6.694
BP,GO:0009628,naive_bayes,PCA,0.6951,0.0261,7.569
BP,GO:0009636,naive_bayes,PCA,0.6545,0.0107,6.853
BP,GO:0009653,naive_bayes,PCA,0.744,0.0469,6.961
BP,GO:0009786,naive_bayes,PCA,0.6167,0.0146,7.324
